Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,Price
5,6,6,burwood,3125,20161011,WkDay,TuDay,WrkngDy,sold,1,1,0,44,65,62,N,N,N,N,108.5,116.5,NA,NA,1,4,NA,230,NA,2016,7.5,15.1,1.4,18.6,16.9,10,1.8,1.86,225000,300000,986,19.2,NrlyLvl,NA,723000,670000,100000
8,9,0,burwood,3125,20170505,WkDay,FDay,WrkngDy,sold,1,1,0,44,65,62,N,N,Y,N,108.5,116.5,NA,NA,1,3,NA,195,NA,2016,6.2,20.5,0,18.6,16.8,9.9,1.8,1.89,120000,155000,NA,NA,NA,NA,723000,670000,135000
10,9,8,burwood,3125,20150728,WkDay,TuDay,WrkngDy,sold,1,1,0,44,65,62,N,N,N,N,108.5,116.5,1912,1991,3,3,109000,200,2014,2016,7.9,14.4,0,18.6,16.8,9.9,1.8,1.88,NA,NA,NA,NA,NA,NA,653000,723000,100000
25,1,1,burwood,3125,20150202,WkDay,MDay,WrkngDy,sold,1,1,1,31,62,79,N,N,Y,N,108.5,116.5,712,2005,2,0,214500,NA,2006,NA,13.5,21.1,3.8,17.8,0.9,0.1,1.7,1.63,125000,160000,711,15.6,GntlyInclnd,NA,670000,739000,150000
32,6,0,burwood,3125,20161020,WkDay,ThDay,WrkngDy,sold,2,1,0,48,41,66,N,N,N,N,108.5,116.5,NA,NA,0,0,NA,NA,NA,NA,6.8,21.8,0,17.7,17.7,10.8,2.7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,240000
34,7,6,burwood,3125,20151111,WkDay,WDay,WrkngDy,sold,2,2,0,41,64,76,N,N,N,N,108.5,116.5,NA,NA,3,5,250000,410,2015,2016,11.5,20.1,2,17.1,18.3,11.4,3.3,1.51,410000,925000,NA,NA,NA,NA,420000,653000,250000
44,4,2,burwood,3125,20170920,WkDay,WDay,WrkngDy,sold,2,1,1,66,48,68,N,N,Y,Y,108.5,116.5,1972,2010,2,2,390000,410,2010,2017,6,19.2,0,19.3,1.4,0.3,1.5,2.57,NA,NA,NA,NA,NA,NA,670000,758000,338000
62,8,6,burwood,3125,20171024,WkDay,TuDay,WrkngDy,sold,1,1,1,66,48,68,N,N,N,N,108.5,116.5,2558,2011,2,2,375000,370,2011,2017,12.1,20.5,0.2,19.5,1.6,0.1,1.7,2.47,NA,NA,2592,NA,GntlyInclnd,NA,670000,739000,350000
92,5,4,burwood,3125,20171020,WkDay,FDay,WrkngDy,sold,2,2,1,66,48,68,N,N,Y,Y,108.5,116.5,2600,2009,1,0,NA,NA,NA,NA,11.3,16.2,2.6,19.4,1.5,0.3,1.6,2.52,NA,NA,10403,NA,GntlyInclnd,NA,670000,739000,460000
93,1,6,burwood,3125,20161108,WkDay,TuDay,WrkngDy,sold,2,1,2,66,48,68,N,N,N,N,108.5,116.5,2558,2011,1,0,NA,NA,NA,NA,11,18.2,0.2,19.5,1.6,0.1,1.7,2.55,470000,615000,2592,NA,GntlyInclnd,NA,670000,739000,450000
