Id,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
466,burwood,3125,20140222,WkEnd,SDay,WrkngDy,sold,3,1,1,42,43,65,Y,N,Y,N,108.5,116.5,595,1960,2,0,700000,NA,2014,NA,14.1,19.3,0.6,17.1,0.6,0.3,1.7,2.14,1180000,1580000,606,19.7,GntlyInclnd,1500333,1680000,1600000,700000
616,burwood,3125,20140531,WkEnd,SDay,WrkngDy,sold,3,2,2,69,26,42,Y,N,N,Y,108.5,116.5,312,1996,6,0,470000,NA,2006,NA,7.5,18.9,0,19.3,2,0.1,0.6,2.24,1080000,1430000,312,NA,GntlyInclnd,1268167,1410000,1190000,800000
646,burwood,3125,20141025,WkEnd,SDay,WrkngDy,sold,3,1,4,64,30,50,N,N,Y,N,108.5,116.5,616,1980,1,0,NA,NA,NA,NA,14.1,18.2,0,20.3,1.7,0.8,1.3,1.26,1030000,1360000,611,19,GntlyInclnd,1230167,901000,1160000,800000
729,burwood,3125,20151104,WkDay,WDay,WrkngDy,sold,4,2,2,66,48,68,Y,N,Y,Y,108.5,116.5,252,2015,2,0,772000,NA,2011,NA,10.9,27.2,0,19.4,1.5,0.3,1.7,2.51,985000,1530000,252,NA,NrlyLvl,1070333,1170000,985000,850000
781,burwood,3125,20151219,WkEnd,SDay,WrkngDy,sold,3,1,1,42,45,66,Y,N,N,N,108.5,116.5,430,1960,2,3,166600,395,1999,2011,19.2,41.2,0,16.7,0.3,0.3,1.7,1.54,880000,1170000,428,15.2,GntlyInclnd,1025333,1600000,1480000,860000
824,burwood,3125,20150221,WkEnd,SDay,WrkngDy,sold,4,2,0,56,35,52,N,N,Y,N,108.5,116.5,636,1960,4,0,590000,NA,2008,NA,18.1,36.1,0,20.6,1.2,0.3,0.7,1.43,1080000,1430000,636,16,GntlyInclnd,1392167,1330000,1200000,900000
882,burwood,3125,20170522,WkDay,MDay,WrkngDy,sold,3,2,2,52,39,58,N,N,Y,Y,108.5,116.5,296,2010,1,0,NA,NA,NA,NA,10.4,20.3,0,19.1,0.2,0.2,0.3,2,975000,1290000,925,18.3,ModInclnd,907333,891000,1410000,952000
888,burwood,3125,20150907,WkDay,MDay,WrkngDy,sold,4,2,2,66,48,68,Y,N,Y,Y,108.5,116.5,312,2011,2,0,870000,NA,2011,NA,8.9,13.6,3.6,18.5,1.6,1.8,2.4,2.55,925000,1230000,312,NA,ModInclnd,1032000,1170000,985000,950000
890,burwood,3125,20150711,WkEnd,SDay,WrkngDy,sold,3,1,2,56,35,52,N,N,Y,N,108.5,116.5,593,1950,3,0,278500,NA,2005,NA,10.9,13.1,0.2,20.6,3.2,4.7,3.5,1.46,1030000,1360000,591,16.2,GntlyInclnd,1062667,1160000,1790000,976000
938,burwood,3125,20150713,WkDay,MDay,WrkngDy,sold,3,2,2,43,44,68,Y,N,N,N,108.5,116.5,876,2015,1,0,NA,NA,NA,NA,6.1,12.7,28.4,17.7,0.5,0.2,1.8,1.4,845000,1110000,874,NA,GntlyInclnd,997667,901000,891000,1048000
940,burwood,3125,20150428,WkDay,TuDay,WrkngDy,sold,3,1,0,42,43,65,N,N,N,N,108.5,116.5,600,1979,3,0,72500,NA,1986,NA,10.1,16,1.6,17,0.8,0.2,1.5,2.07,1180000,1580000,600,15.6,GntlyInclnd,1400333,1710000,725000,1090000
969,burwood,3125,20150411,WkEnd,SDay,WrkngDy,sold,3,1,2,56,35,52,Y,N,Y,N,108.5,116.5,591,1955,3,1,1000000,450,2015,2010,11.6,23.7,0,18.7,1.5,0.8,0.9,1.51,1120000,1510000,601,16.8,GntlyInclnd,1138333,1160000,1170000,1000000
971,burwood,3125,20141203,WkDay,WDay,WrkngDy,sold,4,2,2,64,30,50,Y,N,Y,N,108.5,116.5,557,1980,3,0,455000,NA,2005,NA,16.2,23.9,0,20.4,1.8,0.9,1.2,1.27,1120000,1510000,556,15.2,GntlyInclnd,1263333,1400000,1330000,1000000
999,burwood,3125,20151017,WkEnd,SDay,WrkngDy,sold,4,2,2,53,43,59,N,N,N,N,108.5,116.5,536,1964,2,1,553000,360,2012,2009,11.5,20.5,0,17.7,0.9,0.5,2.2,1.11,1060000,1640000,536,18,NrlyLvl,1355167,985000,1400000,1000000
1001,burwood,3125,20150623,WkDay,TuDay,WrkngDy,sold,3,1,0,53,43,59,N,Y,Y,N,108.5,116.5,682,1980,2,0,370000,NA,2004,NA,9.6,17.6,0,19.6,2.1,5.8,2.4,0.93,1080000,1430000,682,16.4,GntlyInclnd,1297833,901000,1240000,1035000
1033,burwood,3125,20150329,WkEnd,SDay,WrkngDy,sold,5,2,2,52,39,58,Y,N,Y,N,108.5,116.5,811,1980,3,1,195000,450,1998,2010,8.5,22.7,0,18.8,0.2,0.2,1.8,2.11,1370000,1830000,816,NA,NrlyLvl,1731000,1170000,1480000,1100000
1034,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,3,1,1,42,43,65,N,N,N,N,108.5,116.5,592,1960,2,4,45250,360,1982,2015,11.9,22.7,0,16.9,0.3,0.3,1.5,2.11,1300000,1740000,598,15.6,GntlyInclnd,1353833,1710000,1270000,1100000
1046,burwood,3125,20170624,WkEnd,SDay,WrkngDy,sold,3,1,2,64,15,53,N,N,Y,N,108.5,116.5,650,1950,2,2,560000,390,2009,2015,8.3,12.3,1.4,16.1,0.9,1,0.6,1.17,975000,1290000,651,15.3,GntlyInclnd,1311667,1660000,1270000,1100000
1047,burwood,3125,20170429,WkEnd,SDay,WrkngDy,sold,3,1,1,53,43,59,N,N,Y,N,108.5,116.5,564,1960,1,1,NA,300,NA,2006,14.9,18.1,0.2,17.8,1,0.1,2.1,1.03,1030000,1360000,531,16.1,GntlyInclnd,1263833,901000,1730000,1162000
1058,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,3,1,1,51,49,49,Y,N,Y,Y,108.5,116.5,760,1950,1,0,NA,NA,NA,NA,9.8,13.4,6.2,16.9,1.3,0.1,0.9,0.76,1120000,1510000,760,15.4,NrlyLvl,1308333,1450000,1900000,1101000
1059,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,3,1,1,48,41,66,N,N,N,N,108.5,116.5,759,1950,1,0,NA,NA,NA,NA,9.8,13.4,6.2,17.8,0.6,0.6,3.7,1.32,901000,1730000,784,NA,NrlyLvl,1187333,901000,891000,1160000
1060,burwood,3125,20151201,WkDay,TuDay,WrkngDy,sold,4,1,1,55,39,43,Y,N,Y,Y,108.5,116.5,725,1930,3,2,157000,430,1994,2016,14.5,24.6,1.8,17,2.8,0.9,1.8,1.01,1120000,1510000,716,15.7,GntlyInclnd,1379250,1420000,1460000,1101000
1063,burwood,3125,20150704,WkEnd,SDay,WrkngDy,sold,3,1,1,42,45,66,N,N,Y,N,108.5,116.5,697,1950,2,2,615000,425,2011,2015,7.3,10.6,0,16.9,0.8,0.6,1.6,1.38,1080000,1430000,699,15.3,GntlyInclnd,1314500,1270000,1340000,1100000
